zipcode_left,latitude_left,longitude_left,address_left,lot,zipcode_right,lotarea,bldgarea,comarea,resarea,officearea,retailarea,numbldgs,numfloors,lotdepth,bldgdepth,yearbuilt,yearalter1,builtfar,residfar,commfar,facilfar,latitude_right,longitude_right,address_right
10458.0,40.86640486876999,-73.89411351479727,GRAND CONCOURSE,1,10459.0,1733.0,3075.0,0.0,2250.0,0.0,0.0,1.0,2.0,69.3,45.0,1995.0,0.0,1.77,3.44,0.0,4.8,40.83242515495221,-73.8938857290861, JENNINGS STREET
10469.0,40.859571199035095,-73.84390329970722,ASTOR AVENUE,11,10469.0,2500.0,0.0,,,,,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.75,0.0,2.0,40.860292998428505,-73.8480011853427, YOUNG AVENUE
10462.0,40.85203387548604,-73.86777439522035,WHITE PLAINS ROAD,8,10467.0,2830.0,2850.0,0.0,2850.0,0.0,0.0,1.0,2.0,100.17,60.0,1930.0,0.0,1.01,1.1,0.0,2.0,40.8738512540136,-73.8700054012595, BRONX BOULEVARD
10452.0,40.84596355052592,-73.9155684099347,FEATHERBED LANE,27,10455.0,2342.0,5536.0,0.0,5536.0,0.0,0.0,1.0,4.0,100.0,54.0,1910.0,1998.0,2.36,2.43,0.0,4.8,40.8194106912277,-73.91494093359941, EAST  STREET
10452.0,40.83747774480411,-73.91671755967529,CLARKE PLACE EAST,95,10459.0,3129.0,1520.0,0.0,1520.0,0.0,0.0,2.0,2.0,125.17,30.0,1901.0,0.0,0.49,3.44,0.0,4.8,40.8254214937866,-73.89787147539342, HALL PLACE
10457.0,40.85443910241399,-73.89842336580149,TIEBOUT AVENUE,10,10454.0,18443.0,7775.0,7775.0,0.0,0.0,0.0,3.0,1.0,127.7,50.0,1931.0,2002.0,0.42,0.0,5.0,6.5,40.806496623813096,-73.9111068059782, EAST  STREET
10473.0,40.81837257336782,-73.86296390149491,SOUNDVIEW AVENUE,28,10459.0,3003.0,7400.0,0.0,7400.0,0.0,0.0,1.0,4.0,123.25,68.0,1907.0,0.0,2.46,3.44,0.0,4.8,40.8182671385284,-73.8960615715474, INTERVALE AVENUE
10468.0,40.8612142340502,-73.90633752856328,DR M L KING JR BOULEVARD,92,10468.0,2119.0,2200.0,0.0,2200.0,0.0,0.0,1.0,3.0,84.75,32.0,1910.0,0.0,1.04,1.25,0.0,2.0,40.861012206367796,-73.9112255435154, HAMPDEN PLACE
10459.0,40.82597676747543,-73.88696212323931,LOWELL STREET,766,10463.0,3524.0,1584.0,0.0,1584.0,0.0,0.0,1.0,1.75,70.47,29.0,1910.0,0.0,0.45,0.5,0.0,1.0,40.879907447979,-73.91590139018341, ARLINGTON AVENUE
10454.0,40.80795651842022,-73.91805854001696,EAST   STREET,137,10467.0,2300.0,2400.0,0.0,2400.0,0.0,0.0,1.0,2.0,100.0,52.0,1993.0,0.0,1.04,1.25,0.0,2.0,40.8786169655892,-73.8613643457894, EAST  STREET
10468.0,40.868123083184884,-73.90688459550866,SEDGWICK AVENUE,51,10458.0,4019.0,4000.0,4000.0,0.0,0.0,0.0,1.0,1.0,83.78,83.58,1931.0,1994.0,1.0,2.43,0.0,4.8,40.8566839801742,-73.8892054279138, EAST  STREET
10453.0,40.852524381107024,-73.9061834880534,MORRIS AVENUE,17,10454.0,1500.0,2059.0,0.0,2059.0,0.0,0.0,1.0,3.0,100.0,43.0,1891.0,0.0,1.37,2.43,0.0,4.8,40.807298558913494,-73.92322850450759, EAST  STREET
10457.0,40.85443910241399,-73.89842336580149,TIEBOUT AVENUE,50,10467.0,2681.0,7439.0,1859.0,5580.0,0.0,1859.0,1.0,4.0,100.13,69.45,2008.0,0.0,2.77,2.43,0.0,4.8,40.88527025139921,-73.8614915150782, WHITE PLAINS ROAD
