lotarea,bldgarea,comarea,resarea,officearea,retailarea,numbldgs,numfloors,lotdepth,bldgdepth,builtfar,residfar,commfar,facilfar,years,status,complaint_type
2559.0,3070.0,0.0,2200.0,0.0,0.0,1.0,2.0,101.33,54.0,1.2,1.25,0.0,2.0,100,1,0
3175.0,2604.0,0.0,2604.0,0.0,0.0,2.0,2.0,114.42,48.0,0.82,2.43,0.0,4.8,85,0,1
2349.0,2214.0,0.0,1930.0,0.0,0.0,1.0,2.0,91.5,46.5,0.94,1.25,0.0,2.0,70,0,0
2500.0,3133.0,0.0,3133.0,0.0,0.0,2.0,3.0,100.0,58.0,1.25,1.25,0.0,2.0,17,1,0
5000.0,740.0,0.0,740.0,0.0,0.0,2.0,1.0,100.0,35.0,0.15,0.75,0.0,2.0,90,0,1
3078.0,1378.0,0.0,1378.0,0.0,0.0,1.0,2.0,114.0,35.0,0.45,1.25,0.0,2.0,80,1,0
2810.0,2215.0,0.0,2215.0,0.0,0.0,1.0,2.75,112.42,40.0,0.79,2.43,0.0,4.8,100,1,0
1800.0,1665.0,0.0,1152.0,0.0,0.0,1.0,2.0,100.0,32.0,0.93,0.75,0.0,2.0,64,1,0
2375.0,2209.0,0.0,2209.0,0.0,0.0,1.0,2.0,95.0,45.0,0.93,1.25,0.0,2.0,119,1,0
2500.0,3080.0,0.0,2240.0,0.0,0.0,1.0,2.0,100.0,56.0,1.23,2.43,3.4,4.8,90,1,0
2500.0,2268.0,0.0,2268.0,0.0,0.0,1.0,2.0,100.0,54.0,0.91,1.25,0.0,2.0,100,1,0
2689.0,3300.0,0.0,3300.0,0.0,0.0,1.0,3.0,70.99,50.0,1.23,0.75,0.0,2.0,20,1,0
5000.0,1320.0,0.0,1320.0,0.0,0.0,1.0,2.0,100.0,20.0,0.26,0.75,0.0,2.0,100,1,0
1728.0,3180.0,1060.0,2120.0,0.0,1060.0,1.0,2.0,93.0,56.0,1.84,2.43,0.0,4.8,119,1,0
2500.0,2640.0,0.0,2640.0,0.0,0.0,1.0,2.0,100.0,66.0,1.06,1.1,0.0,2.0,85,1,0
2500.0,2637.0,0.0,2637.0,0.0,0.0,1.0,2.0,100.0,61.0,1.05,2.43,0.0,4.8,121,1,0
2642.0,3280.0,0.0,3280.0,0.0,0.0,1.0,2.0,100.0,80.0,1.24,2.43,0.0,4.8,93,1,0
3951.0,668.0,0.0,668.0,0.0,0.0,2.0,1.0,101.08,54.0,0.17,0.5,0.0,1.0,95,1,0
1617.0,1530.0,0.0,1224.0,0.0,0.0,1.0,2.0,77.0,34.0,0.95,2.43,0.0,4.8,119,1,0
2375.0,1062.0,0.0,1062.0,0.0,0.0,2.0,2.0,95.0,24.0,0.45,0.5,0.0,1.0,100,0,0
2720.0,3158.0,0.0,3158.0,0.0,0.0,1.0,2.75,85.0,52.0,1.16,0.5,0.0,1.0,100,0,0
5000.0,2281.0,0.0,1454.0,0.0,0.0,2.0,2.0,100.0,33.0,0.46,0.75,0.0,2.0,110,0,0
1800.0,1782.0,0.0,1296.0,0.0,0.0,1.0,2.0,100.0,36.0,0.99,0.75,0.0,2.0,85,1,0
2090.0,1890.0,0.0,1890.0,0.0,0.0,1.0,2.0,95.0,46.0,0.9,0.75,0.0,2.0,55,1,0
2100.0,3025.0,0.0,2200.0,0.0,0.0,1.0,2.0,100.0,50.0,1.44,0.75,0.0,2.0,60,0,0
2913.0,1960.0,0.0,1960.0,0.0,0.0,1.0,2.0,95.0,49.0,0.67,1.25,0.0,2.0,55,1,0
2315.0,2084.0,0.0,2084.0,0.0,0.0,2.0,2.0,78.39,50.0,0.9,0.75,0.0,2.0,100,0,0
2660.0,1801.0,0.0,988.0,0.0,0.0,1.0,1.0,95.0,48.0,0.68,0.75,0.0,2.0,75,1,0
1800.0,1732.0,0.0,1260.0,0.0,0.0,1.0,2.0,100.0,35.0,0.96,0.75,0.0,2.0,75,0,1
1751.0,1276.0,0.0,928.0,0.0,0.0,1.0,2.0,109.42,29.33,0.73,0.75,0.0,2.0,70,0,1
