lotarea,bldgarea,resarea,numbldgs,numfloors,lotdepth,bldgdepth,builtfar,residfar,year,status,complaint
1890.0,1728.0,1152.0,1.0,2.0,72.0,32.0,0.91,0.5,65,1,3
2668.0,2446.0,1900.0,1.0,2.0,105.67,48.0,0.92,1.25,70,1,0
4540.0,1984.0,1012.0,1.0,1.0,149.25,50.0,0.44,0.75,70,0,0
3410.0,3400.0,0.0,1.0,1.0,68.17,68.17,1.0,0.75,41,1,1
2338.0,1186.0,1186.0,2.0,2.0,96.42,34.0,0.51,0.75,100,1,3
1883.0,1718.0,1718.0,2.0,2.5,125.5,36.0,0.91,3.0,95,1,2
2613.0,1328.0,1328.0,1.0,2.0,95.0,38.0,0.51,0.5,100,1,1
1781.0,3050.0,3050.0,1.0,3.0,75.0,50.0,1.71,1.25,60,1,1
2500.0,1353.0,882.0,1.0,1.0,100.0,42.0,0.54,0.75,65,1,4
17230.0,53860.0,53860.0,1.0,5.0,114.85,93.0,3.13,3.0,98,1,2
2142.0,1276.0,928.0,1.0,2.0,100.0,29.33,0.6,0.75,70,1,4
6990.0,13991.0,13991.0,1.0,3.0,95.0,65.0,2.0,3.44,55,1,1
7609.0,33564.0,33564.0,1.0,6.0,102.33,86.0,4.41,1.25,89,0,0
5000.0,3120.0,2080.0,1.0,2.0,100.0,52.0,0.62,0.75,80,0,0
2425.0,1330.0,760.0,1.0,1.0,100.0,40.0,0.55,0.75,85,1,3
2375.0,2324.0,2324.0,1.0,2.5,95.0,55.0,0.98,0.75,105,1,1
2500.0,2148.0,2148.0,1.0,2.0,100.0,50.0,0.86,3.44,115,1,4
2655.0,3600.0,2400.0,2.0,2.0,90.0,60.0,1.36,0.5,90,1,1
2760.0,1056.0,1056.0,2.0,2.0,92.0,34.0,0.38,0.75,95,1,4
2500.0,2067.0,2067.0,1.0,2.75,100.0,35.0,0.83,0.75,100,1,3
2442.0,1782.0,1296.0,1.0,2.0,100.0,40.0,0.73,0.75,60,1,3
2060.0,2110.0,1480.0,1.0,2.0,103.0,37.0,1.02,1.25,60,1,4
2500.0,2400.0,1600.0,1.0,1.5,100.0,69.0,0.96,0.5,90,1,4
2500.0,1600.0,1600.0,1.0,2.0,100.0,40.0,0.64,0.75,110,1,4
2500.0,1328.0,1328.0,2.0,2.0,100.0,38.0,0.53,0.75,95,1,2
77188.0,147677.0,0.0,5.0,3.0,230.0,180.0,1.91,6.02,48,0,0
2400.0,1120.0,1120.0,1.0,2.0,96.0,31.0,0.47,0.75,100,1,3
5000.0,2650.0,2650.0,3.0,2.0,100.0,60.0,0.53,0.5,100,1,2
4050.0,17250.0,17250.0,1.0,5.0,78.33,69.0,4.26,6.02,104,1,2
2375.0,2375.0,0.0,1.0,1.0,95.0,95.0,1.0,0.0,90,1,1
2120.0,3420.0,3420.0,1.0,3.0,106.0,57.0,1.61,2.43,16,1,1
2642.0,2038.0,2038.0,1.0,2.0,100.0,46.0,0.77,1.25,80,0,0
2519.0,2640.0,1760.0,1.0,2.0,100.75,42.0,1.05,2.43,110,0,0
1620.0,1566.0,1080.0,1.0,2.0,90.0,35.0,0.97,0.75,60,1,4
73172.0,97000.0,0.0,2.0,2.0,358.67,385.25,1.33,3.44,51,1,3
480000.0,1303935.0,0.0,7.0,9.0,294.67,282.0,2.72,0.75,66,1,0
2288.0,2268.0,2268.0,1.0,2.0,91.5,48.0,0.99,1.25,100,1,0
1975.0,2612.0,1900.0,1.0,2.0,100.0,50.0,1.32,1.25,60,1,4
2500.0,2500.0,950.0,1.0,2.0,100.0,75.0,1.0,3.44,89,1,4
1700.0,1683.0,1122.0,1.0,2.0,100.0,33.0,0.99,0.5,70,1,3
1980.0,1944.0,1944.0,1.0,3.0,110.0,36.0,0.98,1.25,55,1,4
